Pool Name,Risk (Exponential),Yield (30d APY),Pool URL (Exponential),Protocol name,Assets (tickers),Assets (names),Protocol,Assets
Venus BTC Lending,B,0.0052,https://exponential.fi/pools/d7eeb6c9-9660-43b5-bfa8-304cdaf34e85,Venus,BTCB,Binance-Peg BTCB Token,https://www.notion.so/Venus-b48c2547706540748aeed226df0b13d3,https://www.notion.so/Binance-Peg-BTCB-Token-4c535e60b5b2497cab26731b8918e2a8
Euler BTC Lending,B,0.0044,https://exponential.fi/pools/197b3c44-f6e4-48e5-8c6b-208baac1237a,Euler,WBTC,Wrapped BTC (Ethereum),https://www.notion.so/Euler-a387e1ce165d4e02b428d4605d1d7ce6,https://www.notion.so/Wrapped-BTC-Ethereum-a8a21ace393f4b1da2af0172d9694b73
Badger BTC Market Making,B,0.0038,https://exponential.fi/pools/57a47436-110a-4a83-9a70-5e690cf8677c,Badger,"sBTC,WBTC,renBTC,IBBTC","Synth BTC,Wrapped BTC (Ethereum),renBTC (Ethereum),Badger Interest Bearing Bitcoin",https://www.notion.so/Badger-db723da6ee6246319b44baf061c5b25c,"https://www.notion.so/Synth-BTC-c92708d2db9941eb938d778badb96f6a, https://www.notion.so/Wrapped-BTC-Ethereum-a8a21ace393f4b1da2af0172d9694b73, https://www.notion.so/renBTC-Ethereum-d688c3ccef8b4b408d3b30c160d9dc83, https://www.notion.so/Badger-Interest-Bearing-Bitcoin-45c4d4c0359543f6b8226a8a5deb9bed"
Notional BTC Market Making,B,0.0032,https://exponential.fi/pools/2d0dc3bb-b351-41ef-aba2-adf4335a4bc6,Notional,WBTC,Wrapped BTC (Ethereum),https://www.notion.so/Notional-18814d1f35b142dd9c41d1a88fef756d,https://www.notion.so/Wrapped-BTC-Ethereum-a8a21ace393f4b1da2af0172d9694b73
Aave BTC Lending,B,0.0008,https://exponential.fi/pools/009bd761-014e-4274-adf4-e45856f94619,Aave V3,WBTC,Wrapped BTC (Optimism),https://www.notion.so/Aave-V3-3afbaf6e6d854b649ca8e999ed803e91,https://www.notion.so/Wrapped-BTC-Optimism-d62e75786298497b88bf31e19e771af2
Benqi BTC Lending,C,0.0006,https://exponential.fi/pools/3640c997-245c-4443-8888-6f31210fa694,Benqi,WBTC.e,Wrapped BTC (Avalanche),https://www.notion.so/Benqi-a29f4b34172446a2a56ba7a5b35f3f76,https://www.notion.so/Wrapped-BTC-Avalanche-077cea2b925c4e14aa44214c5da185d2
Morpho-Compound BTC Lending,B,0.0005,https://exponential.fi/pools/dfc6c1ac-c6a4-42b8-959c-bc6cbc758ab9,Morpho-Compound,WBTC,Wrapped BTC (Ethereum),https://www.notion.so/Morpho-Compound-45cc036332be4af6b2030abbc6220445,https://www.notion.so/Wrapped-BTC-Ethereum-a8a21ace393f4b1da2af0172d9694b73
Yearn BTC Lending,C,0.0004,https://exponential.fi/pools/bf3a7e76-501c-40e6-b747-66222a5cd070,Yearn,WBTC,Wrapped BTC (Optimism),https://www.notion.so/Yearn-34a1ee33e55f4ee7b3b9a204d8508119,https://www.notion.so/Wrapped-BTC-Optimism-d62e75786298497b88bf31e19e771af2
Trader Joe BTC Lending,C,0.0003,https://exponential.fi/pools/53dd4165-db0f-4434-a61f-90735848e2cf,Banker Joe,WBTC.e,Wrapped BTC (Avalanche),https://www.notion.so/Banker-Joe-546aafc3097642b3b4b9bfbef1242e8e,https://www.notion.so/Wrapped-BTC-Avalanche-077cea2b925c4e14aa44214c5da185d2
cBridge ETH Avalanche,C,1.0143,https://exponential.fi/pools/9022054f-7814-42d5-9611-ef46eb03fb7b,cBridge,WETH.e,Wrapped Ether (Avalanche),https://www.notion.so/cBridge-f8315190f53d4661b8ab4615f97c40f3,https://www.notion.so/Wrapped-Ether-Avalanche-01314a9ad0664ec8b31e8b5b6264387a
cBridge ETH Polygon,C,0.7487,https://exponential.fi/pools/47a80d98-1afe-48b7-8752-5b93e410d8cc,cBridge,ETH,Wrapped Ether (PoS Polygon),https://www.notion.so/cBridge-f8315190f53d4661b8ab4615f97c40f3,https://www.notion.so/Wrapped-Ether-PoS-Polygon-63f36aeca52a416a8f7a6534435bc69f
cBridge ETH Optimism,B,0.3765,https://exponential.fi/pools/0bec4eea-9893-4ffa-ae88-e062e5363095,cBridge,ETH,Ether (Optimism),https://www.notion.so/cBridge-f8315190f53d4661b8ab4615f97c40f3,https://www.notion.so/Ether-Optimism-e704056a8b8341b6a94d3209204900e5
Pendle ETH Yield Token (6/28),B,0.2529,https://exponential.fi/pools/af108ca9-acc7-4fa2-b2e2-148efaa930f4,Pendle,stETH,Lido Staked ETH,https://www.notion.so/Pendle-7cd317bcbc3943d0ab51853f9a8f048e,https://www.notion.so/Lido-Staked-ETH-bb04fee601b040d9864547d1a8676426
KyberSwap ETH Market Making,B,0.204,https://exponential.fi/pools/bd36591e-3237-4360-83cd-4936b1b61898,KyberSwap,"wstETH,ETH","Wrapped stETH,Ether (Optimism)",https://www.notion.so/KyberSwap-afb9abc1379542e3875e4fe42ca7282e,"https://www.notion.so/Wrapped-stETH-551469e62ada493e8fb24d255f3b2501, https://www.notion.so/Ether-Optimism-e704056a8b8341b6a94d3209204900e5"
Pendle ETH Market Making (3/29),B,0.1525,https://exponential.fi/pools/4641b527-68eb-453e-b4c2-b6f4892df02a,Pendle,stETH,Lido Staked ETH,https://www.notion.so/Pendle-7cd317bcbc3943d0ab51853f9a8f048e,https://www.notion.so/Lido-Staked-ETH-bb04fee601b040d9864547d1a8676426
Pendle ETH Market Making (6/28),B,0.149,https://exponential.fi/pools/5d1f070c-83c3-4d1c-abec-eb61dfe41eb0,Pendle,stETH,Lido Staked ETH,https://www.notion.so/Pendle-7cd317bcbc3943d0ab51853f9a8f048e,https://www.notion.so/Lido-Staked-ETH-bb04fee601b040d9864547d1a8676426
BendDAO ETH Lending,C,0.1429,https://exponential.fi/pools/a50d1dce-cc2b-43ed-a9a0-3c23d948342b,BendDAO,ETH,Ether,https://www.notion.so/BendDAO-03c1731cfaba45b8bda422c0e5a65385,https://www.notion.so/Ether-083c480c6565470385190396104819ad
Beethoven ETH Market Making,C,0.1274,https://exponential.fi/pools/3669478d-d645-49a1-985d-a957e0e788a2,Beethoven X,"ETH,rETH","Ether (Optimism),Rocket Pool ETH (Optimism)",https://www.notion.so/Beethoven-X-708095aef6614b3d90e59e26d44b8fd6,"https://www.notion.so/Ether-Optimism-e704056a8b8341b6a94d3209204900e5, https://www.notion.so/Rocket-Pool-ETH-Optimism-681fea0bd0a949a29e17060066bd68cc"
Pendle ETH Yield Token (3/29),B,0.1186,https://exponential.fi/pools/a54bcfb3-056e-4f3f-ad13-ddba6eb8e439,Pendle,stETH,Lido Staked ETH,https://www.notion.so/Pendle-7cd317bcbc3943d0ab51853f9a8f048e,https://www.notion.so/Lido-Staked-ETH-bb04fee601b040d9864547d1a8676426
Reaper Farm ETH Lending,D,0.1163,https://exponential.fi/pools/4c2bf2d8-6a39-4b59-bca0-7fdef137d217,Reaper Farm,ETH,Ether (Optimism),https://www.notion.so/Reaper-Farm-fd2bb80c05c646a296c7212953d597c1,https://www.notion.so/Ether-Optimism-e704056a8b8341b6a94d3209204900e5
Convex ETH Market Making,B,0.1072,https://exponential.fi/pools/ecc9de84-cd07-4773-b912-d4a3c472bead,Convex,"ETH,sETH","Ether,SETH",https://www.notion.so/Convex-910d63740ea849b08b340b81ea7c21af,"https://www.notion.so/Ether-083c480c6565470385190396104819ad, https://www.notion.so/SETH-facbfe6e79174d5fa21f60ad95a0d4a8"
Jones Dao ETH Market Making,D,0.1057,https://exponential.fi/pools/9b5a8bd3-cfd0-43a2-ae7c-a5d822bad669,Jones DAO,ETH,Ether (Arbitrum),https://www.notion.so/Jones-DAO-731810d5e0104a5db16f6a272ad970e6,https://www.notion.so/Ether-Arbitrum-618dc9ce2caf471db17711489cc652c6
Synapse ETH Market Making,C,0.0986,https://exponential.fi/pools/00474ee9-752c-47c2-99b4-0e70d2ed5c6f,Synapse,"WETH.e,nUSD","Wrapped Ether (Avalanche),Synapse USD (Avalanche)",https://www.notion.so/Synapse-9293757d5bb84d7c873e5488c714effb,"https://www.notion.so/Wrapped-Ether-Avalanche-01314a9ad0664ec8b31e8b5b6264387a, https://www.notion.so/Synapse-USD-Avalanche-d879b28428904bb98e62d5b548678d12"
Uniswap ETH Market Making,B,0.0982,https://exponential.fi/pools/4a55f191-74b6-4ac9-9b59-251a9edbadf7,Uniswap v3,"ETH2X-FLI,ETH","ETH 2x Flexible Leverage Index,Ether",https://www.notion.so/Uniswap-v3-5461faaf7fc343298b466a6ee71b9ff2,"https://www.notion.so/ETH-2x-Flexible-Leverage-Index-1c85159925eb4a988d8bad6415705873, https://www.notion.so/Ether-083c480c6565470385190396104819ad"
Yearn ETH Market Making,C,0.0849,https://exponential.fi/pools/ab655c44-641b-49fe-8267-300681c00e3a,Yearn,"sETH,ETH","SETH,Ether",https://www.notion.so/Yearn-34a1ee33e55f4ee7b3b9a204d8508119,"https://www.notion.so/SETH-facbfe6e79174d5fa21f60ad95a0d4a8, https://www.notion.so/Ether-083c480c6565470385190396104819ad"
Synapse ETH Market Making,B,0.0847,https://exponential.fi/pools/6c45ee3d-23ed-4b54-9229-6ffaaa45b8c2,Synapse,"ETH,nETH","Ether (Optimism),Synapse ETH (Optimism)",https://www.notion.so/Synapse-9293757d5bb84d7c873e5488c714effb,"https://www.notion.so/Ether-Optimism-e704056a8b8341b6a94d3209204900e5, https://www.notion.so/Synapse-ETH-Optimism-84f5c570f169425ba979432d019f4288"
Convex ETH Market Making,B,0.084,https://exponential.fi/pools/1da77749-53dc-46e3-8946-b1eec6301ccf,Convex,"ETH,alETH","Ether,Alchemix ETH (Ethereum)",https://www.notion.so/Convex-910d63740ea849b08b340b81ea7c21af,"https://www.notion.so/Ether-083c480c6565470385190396104819ad, https://www.notion.so/Alchemix-ETH-Ethereum-7387197fe1984e539f74112da3cee78e"
Idle ETH Perpetual Yield Tranches (Junior),A,0.083,https://exponential.fi/pools/c12dc06e-b36f-413e-9025-4024835093e9,Idle,stETH,Lido Staked ETH,https://www.notion.so/Idle-a4567aed0b3d4d03b93d94b791240365,https://www.notion.so/Lido-Staked-ETH-bb04fee601b040d9864547d1a8676426
StakeDAO ETH Market Making,B,0.0822,https://exponential.fi/pools/86aa8645-e5ba-4680-9781-72681a13b4d2,Stake DAO,"ETH,stETH","Ether,Lido Staked ETH",https://www.notion.so/Stake-DAO-540e96f6ad694a939f0832ad5ac3814c,"https://www.notion.so/Ether-083c480c6565470385190396104819ad, https://www.notion.so/Lido-Staked-ETH-bb04fee601b040d9864547d1a8676426"
Yearn ETH Market Making,B,0.0777,https://exponential.fi/pools/2abe5cc3-ed15-4218-b26e-7181e5de38c7,Yearn,"ETH,cbETH","Ether,Coinbase Wrapped Staked ETH",https://www.notion.so/Yearn-34a1ee33e55f4ee7b3b9a204d8508119,"https://www.notion.so/Ether-083c480c6565470385190396104819ad, https://www.notion.so/Coinbase-Wrapped-Staked-ETH-1dfae184eee1474da504942ddd079864"
Synapse ETH Market Making,C,0.0773,https://exponential.fi/pools/c2356cf9-db51-4401-a89f-7e1b76cf4e4c,Synapse,"ETH,nETH","Ether (Arbitrum),Synapse ETH (Arbitrum)",https://www.notion.so/Synapse-9293757d5bb84d7c873e5488c714effb,"https://www.notion.so/Ether-Arbitrum-618dc9ce2caf471db17711489cc652c6, https://www.notion.so/Synapse-ETH-Arbitrum-7e55b7d3704a45c0b80be81d497c60d7"
WOOFi ETH Staking,D,0.0773,https://exponential.fi/pools/88f7009e-b575-4784-82b9-00ade37027e3,WOOFi Earn,WETH,WETH,https://www.notion.so/WOOFi-Earn-815a7eaa17c149389068eb6b502c5412,https://www.notion.so/WETH-ad6755dc09c042a5b18d5362f2b8258d
Frax ETH Staking,D,0.0754,https://exponential.fi/pools/67865fd7-c523-4700-a3d8-410ae8765b65,Frax Ether,frxETH,Frax Ether,https://www.notion.so/Frax-Ether-f791c0795f69469c87bbd83770754681,https://www.notion.so/Frax-Ether-7125030fffb04b6f9dbe876def5784fe
Uniswap ETH Market Making,B,0.0666,https://exponential.fi/pools/11b1cee1-2018-4565-9efe-b5dec316a1ab,Uniswap v3,"ETH,cbETH","Ether,Coinbase Wrapped Staked ETH",https://www.notion.so/Uniswap-v3-5461faaf7fc343298b466a6ee71b9ff2,"https://www.notion.so/Ether-083c480c6565470385190396104819ad, https://www.notion.so/Coinbase-Wrapped-Staked-ETH-1dfae184eee1474da504942ddd079864"
Beefy ETH Market Making,C,0.0653,https://exponential.fi/pools/ce230407-2092-4bb0-b467-a176aea03da5,Beefy,"WSTETH,ETH","Lido  wstETH,Ether (Arbitrum)",https://www.notion.so/Beefy-20c692aec6c340fdb06932e2147569e4,"https://www.notion.so/Lido-wstETH-013ff4b9d34d4a2f94ecf5f5532421dd, https://www.notion.so/Ether-Arbitrum-618dc9ce2caf471db17711489cc652c6"
Across ETH Bridging,B,0.0646,https://exponential.fi/pools/6ce28b2f-b78c-427b-9246-93338b55a9b4,Across,ETH,Ether,https://www.notion.so/Across-1782ff2ec4644e4f8b546121c83a8532,https://www.notion.so/Ether-083c480c6565470385190396104819ad
Curve ETH Market Making,B,0.0633,https://exponential.fi/pools/48f75fde-f85b-46c4-9f0d-11a041d7c3d7,Curve,"sETH,ETH","SETH,Ether",https://www.notion.so/Curve-0c7b96b2a2274fb4a869e971c604ee4f,"https://www.notion.so/SETH-facbfe6e79174d5fa21f60ad95a0d4a8, https://www.notion.so/Ether-083c480c6565470385190396104819ad"
Tokemak ETH Market Making,B,0.0624,https://exponential.fi/pools/d3b321c2-4811-4b6d-a624-2da45c682f4e,Tokemak,ETH,Ether,https://www.notion.so/Tokemak-a921d0822b2a4ca4b14c42e4a160bca1,https://www.notion.so/Ether-083c480c6565470385190396104819ad
Mero ETH Staking,C,0.0606,https://exponential.fi/pools/ab46f91b-d7bb-4f2c-b1df-27308505afef,Mero,"alETH,ETH","Alchemix ETH (Ethereum),Ether",https://www.notion.so/Mero-9996705d15a440f39311594ce2b42bdf,"https://www.notion.so/Alchemix-ETH-Ethereum-7387197fe1984e539f74112da3cee78e, https://www.notion.so/Ether-083c480c6565470385190396104819ad"
Pendle USDC Yield Token (3/29),F,0.8099,https://exponential.fi/pools/464c039b-e7dc-4952-941f-b42c090733a7,Pendle,"FRAX,USDC","Frax (Ethereum),USD Coin (Ethereum)",https://www.notion.so/Pendle-7cd317bcbc3943d0ab51853f9a8f048e,"https://www.notion.so/Frax-Ethereum-2c39cf8d821b4fefa9002a21a6b856da, https://www.notion.so/USD-Coin-Ethereum-5543257d4f2348c1ac408501694c7316"
Sommelier USD Yield,C,0.2888,https://exponential.fi/pools/dce67535-31ee-4d38-b30b-f90fb0eb9a8c,Sommelier,"USDT,USDC,DAI","Tether USD (Ethereum),USD Coin (Ethereum),Dai Stablecoin",https://www.notion.so/Sommelier-78ae2dc1e51d4e8aad48a1f33b17d072,"https://www.notion.so/Tether-USD-Ethereum-0fd710520a85406d9575e4069fa27f0c, https://www.notion.so/USD-Coin-Ethereum-5543257d4f2348c1ac408501694c7316, https://www.notion.so/Dai-Stablecoin-376edb1ce3d942088af5c5ce4c802364"
DeFiChain USD Market Making,F,0.2584,https://exponential.fi/pools/3fb0669b-4629-4ec6-bf15-6bf5331c40e4,DeFiChain Dex,"dUSDT,DUSD","DeFiChain Tether USD,Decentralized USD",https://www.notion.so/DeFiChain-Dex-482f16505a3542d1b1d115c0448424c3,"https://www.notion.so/DeFiChain-Tether-USD-0f75b765e2734cabb8636670fc0139e6, https://www.notion.so/Decentralized-USD-e768f69eee0c40f890b4e9ea2b3723af"
Mero USD Staking,D,0.2486,https://exponential.fi/pools/3a5ae522-123e-4703-8822-b23c56db0bf4,Mero,"USDT,MIM,USDC,DAI","Tether USD (Ethereum),Magic Internet Money (Ethereum),USD Coin (Ethereum),Dai Stablecoin",https://www.notion.so/Mero-9996705d15a440f39311594ce2b42bdf,"https://www.notion.so/Tether-USD-Ethereum-0fd710520a85406d9575e4069fa27f0c, https://www.notion.so/Magic-Internet-Money-Ethereum-07799e51635c40b39aff0e62364450b9, https://www.notion.so/USD-Coin-Ethereum-5543257d4f2348c1ac408501694c7316, https://www.notion.so/Dai-Stablecoin-376edb1ce3d942088af5c5ce4c802364"
DeFiChain USD Market Making,F,0.2391,https://exponential.fi/pools/37a2dd58-aa4f-47d3-9ac7-9097352d8c40,DeFiChain Dex,"dUSDC,DUSD","DeFiChain USD Coin,Decentralized USD",https://www.notion.so/DeFiChain-Dex-482f16505a3542d1b1d115c0448424c3,"https://www.notion.so/DeFiChain-USD-Coin-48b387ee6dcb42ab8eee154644a451be, https://www.notion.so/Decentralized-USD-e768f69eee0c40f890b4e9ea2b3723af"
Beethoven USD Market Making,F,0.2148,https://exponential.fi/pools/ac4c0b91-38c7-4251-8bf0-9a0abb612eab,Beethoven X,"USDC,DEI","USD Coin (Ethereum),DEI",https://www.notion.so/Beethoven-X-708095aef6614b3d90e59e26d44b8fd6,"https://www.notion.so/USD-Coin-Ethereum-5543257d4f2348c1ac408501694c7316, https://www.notion.so/DEI-032e10fff5d242598b3bc0036222724b"
Gains USD Market Making,C,0.1965,https://exponential.fi/pools/922a1b0c-f65a-47df-bb41-f844766021f4,Gains Network,DAI,Dai Stablecoin (Arbitrum),https://www.notion.so/Gains-Network-62ababe752b640adb8ff29912cded3b5,https://www.notion.so/Dai-Stablecoin-Arbitrum-c638e30b113848fab176a063ab58e87e
Velodrome EUR-USD Market Making,D,0.192,https://exponential.fi/pools/c9652896-18aa-4a32-b8ef-e212f5ff0746,Velodrome,"miMATIC,agEUR","Mai Stablecoin (Optimism),agEUR (Ethereum)",https://www.notion.so/Velodrome-8068c146addc40c0b284506bc9c64c2f,"https://www.notion.so/Mai-Stablecoin-Optimism-e8500a9b9aa446559ed56991c951e712, https://www.notion.so/agEUR-Ethereum-2264a5f36df84c34af56a246be239904"
Yearn USD Market Making,F,0.1906,https://exponential.fi/pools/180f5317-6b2b-43f9-bc3d-cd6cabd88724,Yearn,"USDT,USDC,DAI,USDN","Tether USD (Ethereum),USD Coin (Ethereum),Dai Stablecoin,Neutrino USD (Waves)",https://www.notion.so/Yearn-34a1ee33e55f4ee7b3b9a204d8508119,"https://www.notion.so/Tether-USD-Ethereum-0fd710520a85406d9575e4069fa27f0c, https://www.notion.so/USD-Coin-Ethereum-5543257d4f2348c1ac408501694c7316, https://www.notion.so/Dai-Stablecoin-376edb1ce3d942088af5c5ce4c802364, https://www.notion.so/Neutrino-USD-Waves-4dcd691475894d2a9a24ddb0c5dd2274"
Uniswap EUR-USD Market Making,C,0.18,https://exponential.fi/pools/70e53a74-1344-4988-8c4a-20edb953a922,Uniswap v3,"USDC,agEUR","USD Coin (PoS Polygon),agEUR (Ethereum)",https://www.notion.so/Uniswap-v3-5461faaf7fc343298b466a6ee71b9ff2,"https://www.notion.so/USD-Coin-PoS-Polygon-63baa480cefb4baf806172a19c7a04c0, https://www.notion.so/agEUR-Ethereum-2264a5f36df84c34af56a246be239904"
Goldfinch USD Lending,C,0.1702,https://exponential.fi/pools/4d5d2f57-c528-40f5-8fbf-9d4dc6c94b78,Goldfinch,USDC,USD Coin (Ethereum),https://www.notion.so/Goldfinch-a35e27ba4f424f02ab80d5182a3e525f,https://www.notion.so/USD-Coin-Ethereum-5543257d4f2348c1ac408501694c7316
Beefy USD Market Making,D,0.1622,https://exponential.fi/pools/4efd320f-0705-4547-964d-447287e0cb07,Beefy,"USDC,alUSD","USD Coin (Optimism),Alchemix USD (Optimism)",https://www.notion.so/Beefy-20c692aec6c340fdb06932e2147569e4,"https://www.notion.so/USD-Coin-Optimism-e9e478f29ca149308ac4e572c9d35921, https://www.notion.so/Alchemix-USD-Optimism-6a23b74f76504d339e39d89811562dc3"
KyberSwap USD Market Making,C,0.1366,https://exponential.fi/pools/7c608d69-26aa-4427-bde9-fe97b9f0f594,KyberSwap,"USDC,miMATIC","USD Coin (Optimism),Mai Stablecoin (Optimism)",https://www.notion.so/KyberSwap-afb9abc1379542e3875e4fe42ca7282e,"https://www.notion.so/USD-Coin-Optimism-e9e478f29ca149308ac4e572c9d35921, https://www.notion.so/Mai-Stablecoin-Optimism-e8500a9b9aa446559ed56991c951e712"
KyberSwap USD Market Making,C,0.1327,https://exponential.fi/pools/2bcc8726-ed49-41fe-8459-57f5381ac747,KyberSwap,"USDC,miMATIC (PoS Polygon)","USD Coin (PoS Polygon),miMATIC (PoS Polygon)",https://www.notion.so/KyberSwap-afb9abc1379542e3875e4fe42ca7282e,"https://www.notion.so/USD-Coin-PoS-Polygon-63baa480cefb4baf806172a19c7a04c0, https://www.notion.so/miMATIC-PoS-Polygon-8289a31ba5294684a127ab8b691d35a3"
Reaper Farm USD Lending,D,0.131,https://exponential.fi/pools/2067f186-d64a-43cb-b6d5-134b898d4d6a,Reaper Farm,USDT,Tether USD (Optimism),https://www.notion.so/Reaper-Farm-fd2bb80c05c646a296c7212953d597c1,https://www.notion.so/Tether-USD-Optimism-08cb52b8fff64906bdfbdec9b9ef41bb
Overnight USD Staking,C,0.1261,https://exponential.fi/pools/7aa9edb3-5fcb-4921-a6dc-f33b17aa97a6,Overnight,USD+,USD+,https://www.notion.so/Overnight-74f28764b8a041e6a9542cfa5908b225,https://www.notion.so/USD-a6df89c5b63b4e81937af363eb539e1b
Reaper Farm USD Lending,D,0.1131,https://exponential.fi/pools/10ded717-9663-467c-8a39-3de140ac5b96,Reaper Farm,DAI,Dai Stablecoin (Optimism),https://www.notion.so/Reaper-Farm-fd2bb80c05c646a296c7212953d597c1,https://www.notion.so/Dai-Stablecoin-Optimism-e1f800b120b64918a14bd49e952e0b66
Synapse USD Market Making,C,0.1109,https://exponential.fi/pools/dfbc9346-22d4-46a8-a74a-6e7ced6164c5,Synapse,"USDC,USDT.e,DAI,nUSD","USD Coin Avalanche Bridged,Tether USD (Avalanche),Dai Stablecoin (Avalanche),Synapse USD (Avalanche)",https://www.notion.so/Synapse-9293757d5bb84d7c873e5488c714effb,"https://www.notion.so/USD-Coin-Avalanche-Bridged-f53a8bb79e4d47c8be610da9aeeaef77, https://www.notion.so/Tether-USD-Avalanche-ab8398ee64df4afe90a3cbac6fc9859d, https://www.notion.so/Dai-Stablecoin-Avalanche-50e5e95542d446328030694140989c60, https://www.notion.so/Synapse-USD-Avalanche-d879b28428904bb98e62d5b548678d12"
Synapse USD Market Making,D,0.1104,https://exponential.fi/pools/e5240730-3ab8-411b-b3d3-27dc1592e29c,Synapse,"USDC,USDT,BUSD,nUSD","Binance-Peg USD Coin,Binance-Peg BSC-USD,Binance-Peg BUSD Token (BNB Chain),Synapse USD (BNB Chain)",https://www.notion.so/Synapse-9293757d5bb84d7c873e5488c714effb,"https://www.notion.so/Binance-Peg-USD-Coin-5c2a708661b146ab9a669b22a3768461, https://www.notion.so/Binance-Peg-BSC-USD-751e42f80a8d4f0181e6eccb259e6bd5, https://www.notion.so/Binance-Peg-BUSD-Token-BNB-Chain-d166c7036d554bdb9ebc33f90e70baaf, https://www.notion.so/Synapse-USD-BNB-Chain-e8e0a01f40114e8c8e00080bf17ef778"
Vires USD Lending,F,0.1092,https://exponential.fi/pools/6defbe57-447a-46ab-892b-825c4fef681e,Vires,USDN,Neutrino USD (Waves),https://www.notion.so/Vires-cea74e2bffac4b2ab6cb40b4e13e8b53,https://www.notion.so/Neutrino-USD-Waves-4dcd691475894d2a9a24ddb0c5dd2274
Reaper Farm USD Lending,D,0.108,https://exponential.fi/pools/a703a3cc-4c6a-49a2-85e4-cfef5b73033f,Reaper Farm,USDC,USD Coin (Optimism),https://www.notion.so/Reaper-Farm-fd2bb80c05c646a296c7212953d597c1,https://www.notion.so/USD-Coin-Optimism-e9e478f29ca149308ac4e572c9d35921
Synapse USD Market Making,C,0.1035,https://exponential.fi/pools/92eb4412-b8e2-4398-aae4-0f3c62e625f9,Synapse,"USDC,nUSD","USD Coin (Optimism),Synapse USD (Optimism)",https://www.notion.so/Synapse-9293757d5bb84d7c873e5488c714effb,"https://www.notion.so/USD-Coin-Optimism-e9e478f29ca149308ac4e572c9d35921, https://www.notion.so/Synapse-USD-Optimism-29e2584204c64a059dac0ca335400bc0"
Sherlock USD Staking,B,0.1013,https://exponential.fi/pools/971c88d2-0766-4b1f-81e8-6d221bb6552b,Sherlock,USDC,USD Coin (Ethereum),https://www.notion.so/Sherlock-db9fa76b02594271b7584560e6782265,https://www.notion.so/USD-Coin-Ethereum-5543257d4f2348c1ac408501694c7316
Synapse USD Market Making,C,0.1012,https://exponential.fi/pools/7f18548a-80f7-4782-b5e6-c428703d4f89,Synapse,"USDC,USDT,nUSD","USD Coin (Arbitrum),Tether USD (Arbitrum),Synapse USD (Arbitrum)",https://www.notion.so/Synapse-9293757d5bb84d7c873e5488c714effb,"https://www.notion.so/USD-Coin-Arbitrum-ee19df9327cb4589a30303ab1ae833a0, https://www.notion.so/Tether-USD-Arbitrum-35225ab62f8844a5a5ded091704def40, https://www.notion.so/Synapse-USD-Arbitrum-d6ea68b7e21e47dc836be115c11b1674"
Synapse USD Market Making,C,0.1005,https://exponential.fi/pools/ec7a6b03-10bb-4ee0-85e6-7c9d604e09ab,Synapse,"USDC,USDT,DAI,nUSD","USD Coin (PoS Polygon),Tether USD (PoS Polygon),Dai Stablecoin (PoS Polygon),Synapse USD (Polygon)",https://www.notion.so/Synapse-9293757d5bb84d7c873e5488c714effb,"https://www.notion.so/USD-Coin-PoS-Polygon-63baa480cefb4baf806172a19c7a04c0, https://www.notion.so/Tether-USD-PoS-Polygon-f7228cfada3b4c2b94e836181091cd7d, https://www.notion.so/Dai-Stablecoin-PoS-Polygon-b008df7a3ed44f6ba265a4aebe9a58d0, https://www.notion.so/Synapse-USD-Polygon-9b75da1dce4a464fbf6f76705ead4ed7"
KyberSwap USD Market Making,C,0.0989,https://exponential.fi/pools/b347fe57-6e61-4145-af57-f3d559a06cde,KyberSwap,"USDT,DAI","Tether USD (Optimism),Dai Stablecoin (Optimism)",https://www.notion.so/KyberSwap-afb9abc1379542e3875e4fe42ca7282e,"https://www.notion.so/Tether-USD-Optimism-08cb52b8fff64906bdfbdec9b9ef41bb, https://www.notion.so/Dai-Stablecoin-Optimism-e1f800b120b64918a14bd49e952e0b66"
Convex EUR Market Making,C,0.0985,https://exponential.fi/pools/8f59270f-cd92-4376-a48d-56c7cedecc6e,Convex,"EURT,EURS,agEUR","Tether EURt,Statis Euro,agEUR (Ethereum)",https://www.notion.so/Convex-910d63740ea849b08b340b81ea7c21af,"https://www.notion.so/Tether-EURt-f21fe82f5e6143b89dcb355b5bc0c29a, https://www.notion.so/Statis-Euro-9a3c212d00074bbca972ea859a142623, https://www.notion.so/agEUR-Ethereum-2264a5f36df84c34af56a246be239904"
Beefy FTM Staking,B,0.0683,https://exponential.fi/pools/1a2b90b6-ccf6-43a8-8a7d-8c50d2c6239d,Beefy,FTM,Fantom,https://www.notion.so/Beefy-20c692aec6c340fdb06932e2147569e4,https://www.notion.so/Fantom-099074c6a5e846a19c2911ffb4209fd4
Trader Joe AVAX Market Making,B,0.0646,https://exponential.fi/pools/482895a7-d862-4584-b388-1fd562c71129,Trader Joe,"AVAX,sAVAX","Avalanche,Benqi Liquid Staked AVAX",https://www.notion.so/Trader-Joe-46defacf2d934594842bbb52d75bb6b9,"https://www.notion.so/Avalanche-1d59b00278c640f6871ccb48942099a6, https://www.notion.so/Benqi-Liquid-Staked-AVAX-6576b2eaa3004735bedd7994d8c4c2c7"
