pool_name,protocolo,assets,risk,yield,url
Uniswap ETH Market Making,https://www.notion.so/Uniswap-v3-5461faaf7fc343298b466a6ee71b9ff2,"https://www.notion.so/Coinbase-Wrapped-Staked-ETH-1dfae184eee1474da504942ddd079864, https://www.notion.so/Ether-083c480c6565470385190396104819ad",B,0.0637,https://exponential.fi/pools/11b1cee1-2018-4565-9efe-b5dec316a1ab
Dopex BTC Weekly Puts,https://www.notion.so/Dopex-d58f606c8000448a96ff46b9ce631bf0,"https://www.notion.so/USD-Coin-99cb8d868e2745c5b0f32d7a673f6919, https://www.notion.so/Tether-3b42c30d8b1f495db528f169e4365140",C,5.07732E+12,https://exponential.fi/pools/12a705a6-d686-4ddf-a033-b8113345b1d9
Dopex DPX Monthly Calls,https://www.notion.so/Dopex-7436cbba48d24c5ab0084651a4227c8e,https://www.notion.so/Dopex-Governance-Token-5f7d487165b1425bbe72ee941c74ab0d,B,45.2102,https://exponential.fi/pools/764c37f9-0a08-46ab-bedd-4f4b58410e8a
Sommelier ETH-BTC Momentum,https://www.notion.so/Sommelier-78ae2dc1e51d4e8aad48a1f33b17d072,"https://www.notion.so/Bitcoin-ee4e4ce2af3b4a53ac0eeace89084b16, https://www.notion.so/USD-55d38e87a3864cb884989777d6ed853c, https://www.notion.so/Ether-083c480c6565470385190396104819ad",C,3.456,https://exponential.fi/pools/333121a3-53c8-4100-bf02-6defed9e2d10
Sommelier ETH-BTC Trend,https://www.notion.so/Sommelier-78ae2dc1e51d4e8aad48a1f33b17d072,"https://www.notion.so/Bitcoin-ee4e4ce2af3b4a53ac0eeace89084b16, https://www.notion.so/USD-55d38e87a3864cb884989777d6ed853c, https://www.notion.so/Ether-083c480c6565470385190396104819ad",C,3.4347,https://exponential.fi/pools/04a5338b-d74c-4015-a591-d326aa6d4bc0
Pendle APE Yield Token (6/28),https://www.notion.so/Pendle-7cd317bcbc3943d0ab51853f9a8f048e,https://www.notion.so/APE-Coin-2d54301bde2e4d51b48eb953a444396d,C,3.169,https://exponential.fi/pools/6df01240-7f52-483f-9768-454ef56615e7
Dopex ETH Weekly Puts,https://www.notion.so/Dopex-7436cbba48d24c5ab0084651a4227c8e,"https://www.notion.so/USD-Coin-99cb8d868e2745c5b0f32d7a673f6919, https://www.notion.so/Tether-3b42c30d8b1f495db528f169e4365140",C,2.6621,https://exponential.fi/pools/3ef3d8cb-9841-43a0-a0f3-34fc6423ccb1
Pendle APE Market Making (6/28),https://www.notion.so/Pendle-7cd317bcbc3943d0ab51853f9a8f048e,https://www.notion.so/APE-Coin-2d54301bde2e4d51b48eb953a444396d,C,2.1373,https://exponential.fi/pools/8657eb9f-3624-4c8b-a584-02bf8a354c9e
Uniswap OP-USD Market Making,https://www.notion.so/Uniswap-v3-5461faaf7fc343298b466a6ee71b9ff2,"https://www.notion.so/Optimism-5af2ff956ea14d0bbf162c6c1199d7f2, https://www.notion.so/USD-Coin-99cb8d868e2745c5b0f32d7a673f6919",B,1.835,https://exponential.fi/pools/41b9692f-56f6-4044-9c12-6b4829655be6
Dopex ETH Short Straddle,https://www.notion.so/Dopex-d58f606c8000448a96ff46b9ce631bf0,https://www.notion.so/USD-Coin-99cb8d868e2745c5b0f32d7a673f6919,C,1.8521,https://exponential.fi/pools/eaa7be18-6047-451d-94fd-072f173ec207
Trader Joe AVAX-USD Market Making,https://www.notion.so/Trader-Joe-46defacf2d934594842bbb52d75bb6b9,"https://www.notion.so/Avalanche-1d59b00278c640f6871ccb48942099a6, https://www.notion.so/USD-Coin-99cb8d868e2745c5b0f32d7a673f6919",B,1.7829,https://exponential.fi/pools/753b9778-f799-4566-a56a-db5e08809cc5
Uniswap USDC-FOLD Market Making,https://www.notion.so/Uniswap-v3-5461faaf7fc343298b466a6ee71b9ff2,"https://www.notion.so/USD-Coin-99cb8d868e2745c5b0f32d7a673f6919, https://www.notion.so/Manifold-Finance-4fb29804f8484d278828b5edff5aeebe",B,1.5428,https://exponential.fi/pools/ae76271e-c260-4dc1-86db-c707a10699d8
Pendle APE Principal Token (6/28),https://www.notion.so/Pendle-7cd317bcbc3943d0ab51853f9a8f048e,https://www.notion.so/APE-Coin-2d54301bde2e4d51b48eb953a444396d,C,1.3904,https://exponential.fi/pools/123bb93a-5fab-4c82-bd72-5e35b7a15874
KyberSwap ETH-USD Market Making,https://www.notion.so/KyberSwap-afb9abc1379542e3875e4fe42ca7282e,"https://www.notion.so/DAI-6603c7691ef34b86b525a0ab383adc0c, https://www.notion.so/Wrapped-stETH-551469e62ada493e8fb24d255f3b2501",C,1.3214,https://exponential.fi/pools/0c50f64a-d7fe-4fc3-b5e0-f65381958767
Uniswap GMX-USD Market Making,https://www.notion.so/Uniswap-v3-5461faaf7fc343298b466a6ee71b9ff2,"https://www.notion.so/GMX-cf3ed67e645c4268934e904a1d17f1d3, https://www.notion.so/USD-Coin-99cb8d868e2745c5b0f32d7a673f6919",C,1.1825,https://exponential.fi/pools/473a4708-dff3-44e8-8998-146653bbcc57
Uniswap UMAMI-ETH Market Making 100bp,https://www.notion.so/Uniswap-v3-5461faaf7fc343298b466a6ee71b9ff2,"https://www.notion.so/UMAMI-aef8b4ed5f5e46aabb22334d5e05d5e0, https://www.notion.so/Ether-083c480c6565470385190396104819ad",C,1.1199,https://exponential.fi/pools/a9b41de6-54b4-4b57-b60f-ac1b2bbc9590
Ribbon AVAX Calls,https://www.notion.so/Ribbon-424e629c82704dd394518bda189fb634,https://www.notion.so/Benqi-Liquid-Staked-AVAX-6576b2eaa3004735bedd7994d8c4c2c7,C,1.0026,https://exponential.fi/pools/a148a919-d78c-463e-9240-f4cb21748ea9
Uniswap GMX-ETH Market Making,https://www.notion.so/Uniswap-v3-5461faaf7fc343298b466a6ee71b9ff2,"https://www.notion.so/GMX-cf3ed67e645c4268934e904a1d17f1d3, https://www.notion.so/Ether-083c480c6565470385190396104819ad",C,0.9968,https://exponential.fi/pools/023c7736-7844-4f49-8345-e46f1bd4b4a7
Uniswap ETH-OP Market Making,https://www.notion.so/Uniswap-v3-5461faaf7fc343298b466a6ee71b9ff2,"https://www.notion.so/Optimism-5af2ff956ea14d0bbf162c6c1199d7f2, https://www.notion.so/Ether-083c480c6565470385190396104819ad",B,0.9387,https://exponential.fi/pools/daf6d39f-c141-4c5c-91d7-62e9b2932239
Trader Joe AVAX-ETH Market Making,https://www.notion.so/Trader-Joe-46defacf2d934594842bbb52d75bb6b9,"https://www.notion.so/Wrapped-Ether-Avalanche-01314a9ad0664ec8b31e8b5b6264387a, https://www.notion.so/Avalanche-1d59b00278c640f6871ccb48942099a6",C,0.9273,https://exponential.fi/pools/c5bb110a-b4fd-43e0-918b-38554f730cd5
cBridge ETH Avalanche,https://www.notion.so/cBridge-f8315190f53d4661b8ab4615f97c40f3,https://www.notion.so/Wrapped-Ether-Avalanche-01314a9ad0664ec8b31e8b5b6264387a,C,0.7279,https://exponential.fi/pools/9022054f-7814-42d5-9611-ef46eb03fb7b
Uniswap GMX-USD Market Making 1bp,https://www.notion.so/Uniswap-v3-5461faaf7fc343298b466a6ee71b9ff2,"https://www.notion.so/GMX-cf3ed67e645c4268934e904a1d17f1d3, https://www.notion.so/USD-Coin-99cb8d868e2745c5b0f32d7a673f6919",C,0.8305,https://exponential.fi/pools/60ab3d8f-17d8-4a9b-ab3c-3c8801fe8825
Pendle LOOKS Yield Token (3/29),https://www.notion.so/Pendle-7cd317bcbc3943d0ab51853f9a8f048e,https://www.notion.so/LooksRare-Token-e9ade4c5dc054c268d633fefa6911676,C,0.7602,https://exponential.fi/pools/400b7588-4373-4cd3-b73c-afe74b407825
KyberSwap MATIC-USD Market Making,https://www.notion.so/KyberSwap-afb9abc1379542e3875e4fe42ca7282e,"https://www.notion.so/Tether-3b42c30d8b1f495db528f169e4365140, https://www.notion.so/Lido-Staked-MATIC-Polygon-6d4bdaf5af1445acb09b530ceccc2779",C,0.7634,https://exponential.fi/pools/f1582d05-8833-48fe-93b3-e9e8aa06d263
Llama Airforce BAL Staking,https://www.notion.so/Llama-Airforce-27e8eda2938146c1993640375ecdc72f,https://www.notion.so/Balancer-c1521b388a704320982661ea17de0be7,C,0.7306,https://exponential.fi/pools/5ba2b63d-8095-4522-8d95-430adf1a8622
Pendle USDC Yield Token (3/29),https://www.notion.so/Pendle-7cd317bcbc3943d0ab51853f9a8f048e,"https://www.notion.so/FRAX-69a9531686a045bbac068ed40619de56, https://www.notion.so/USD-Coin-99cb8d868e2745c5b0f32d7a673f6919",F,0.7075,https://exponential.fi/pools/464c039b-e7dc-4952-941f-b42c090733a7
cBridge ETH Polygon,https://www.notion.so/cBridge-f8315190f53d4661b8ab4615f97c40f3,https://www.notion.so/Wrapped-Ether-Ethereum-3ec990b5a34b43fbaea795cd372c42e2,C,0.6328,https://exponential.fi/pools/47a80d98-1afe-48b7-8752-5b93e410d8cc
KyberSwap MATIC-USD Market Making,https://www.notion.so/KyberSwap-afb9abc1379542e3875e4fe42ca7282e,"https://www.notion.so/USD-Coin-99cb8d868e2745c5b0f32d7a673f6919, https://www.notion.so/MATIC-e22993a7275f4e0788241f86bba81d15",C,0.6227,https://exponential.fi/pools/f5443e6e-dc76-4c24-bd13-9c06e4afde60
Lifinity SOL-USDC Market Making,https://www.notion.so/Lifinity-016af7659bf943daae0512b11acbf1fb,"https://www.notion.so/SOL-f8685a5af633437a90071cab4c6cf071, https://www.notion.so/USD-Coin-99cb8d868e2745c5b0f32d7a673f6919",C,0.6026,https://exponential.fi/pools/bf9e9235-0196-43c0-b540-2186e3020213
Uniswap ETH-LOOKS Market Making,https://www.notion.so/Uniswap-v3-5461faaf7fc343298b466a6ee71b9ff2,"https://www.notion.so/LooksRare-Token-e9ade4c5dc054c268d633fefa6911676, https://www.notion.so/Ether-083c480c6565470385190396104819ad",C,0.5649,https://exponential.fi/pools/7912528d-0932-418d-a5bf-cabe984f79b1
Uniswap ETH-USD Market Making 5bp,https://www.notion.so/Uniswap-v3-5461faaf7fc343298b466a6ee71b9ff2,"https://www.notion.so/Wrapped-Ether-Ethereum-3ec990b5a34b43fbaea795cd372c42e2, https://www.notion.so/USD-Coin-99cb8d868e2745c5b0f32d7a673f6919",B,0.5193,https://exponential.fi/pools/9256905d-6daa-4642-bf26-8ffe1b5c8c4a
Uniswap ETH-USD Market Making,https://www.notion.so/Uniswap-v3-5461faaf7fc343298b466a6ee71b9ff2,"https://www.notion.so/USD-Coin-99cb8d868e2745c5b0f32d7a673f6919, https://www.notion.so/Ether-083c480c6565470385190396104819ad",B,0.4657,https://exponential.fi/pools/e7c7ebaa-7b1b-415b-ac95-a1a8cc88a4d5
Yearn CRV Staking,https://www.notion.so/Yearn-34a1ee33e55f4ee7b3b9a204d8508119,https://www.notion.so/Convex-CRV-64f033ae25b04a36bac341af2556a959,B,0.455,https://exponential.fi/pools/26d90b37-5eb9-43f1-8911-4f812ef4c8fc
Uniswap ETH-USD Market Making 30bp,https://www.notion.so/Uniswap-v3-5461faaf7fc343298b466a6ee71b9ff2,"https://www.notion.so/Wrapped-Ether-Ethereum-3ec990b5a34b43fbaea795cd372c42e2, https://www.notion.so/USD-Coin-Arbitrum-ee19df9327cb4589a30303ab1ae833a0",B,0.3026,https://exponential.fi/pools/e3ce0f8f-6e94-4a37-8448-76fbd86b8690
Convex ETH-CRV Market Making,https://www.notion.so/Convex-910d63740ea849b08b340b81ea7c21af,"https://www.notion.so/Ether-083c480c6565470385190396104819ad, https://www.notion.so/Curve-DAO-Token-Ethereum-df950fa87eb44d85b26c1a0d26991e3f",B,0.2698,https://exponential.fi/pools/04a8693a-4042-44f6-9ad6-a489f0e01ce1
Convex cvxCRV-CRV Market Making,https://www.notion.so/Convex-910d63740ea849b08b340b81ea7c21af,"https://www.notion.so/Convex-CRV-64f033ae25b04a36bac341af2556a959, https://www.notion.so/Curve-DAO-Token-Ethereum-df950fa87eb44d85b26c1a0d26991e3f",B,0.2181,https://exponential.fi/pools/e8375639-835d-4fa8-b2e2-8c32660d26f5
Uniswap BTC-USD Market Making,https://www.notion.so/Uniswap-v3-5461faaf7fc343298b466a6ee71b9ff2,"https://www.notion.so/Wrapped-BTC-Ethereum-a8a21ace393f4b1da2af0172d9694b73, https://www.notion.so/USD-Coin-Ethereum-5543257d4f2348c1ac408501694c7316",B,0.157,https://exponential.fi/pools/a5857e7f-f6f6-47f4-8a54-60db3b7f89fb
Idle ETH Perpetual Yield Tranches (Junior),https://www.notion.so/Idle-a4567aed0b3d4d03b93d94b791240365,https://www.notion.so/Lido-Staked-ETH-bb04fee601b040d9864547d1a8676426,A,0.0836,https://exponential.fi/pools/c12dc06e-b36f-413e-9025-4024835093e9
Benqi AVAX Staking,https://www.notion.so/Bengi-Liquid-Staking-50937b2e887142cc95325a24e1187160,https://www.notion.so/Avalanche-1d59b00278c640f6871ccb48942099a6,B,0.0813,https://exponential.fi/pools/07e8bc10-2cdb-4ece-8a46-b9e26cd53a2d
Yearn ETH Market Making,https://www.notion.so/Yearn-34a1ee33e55f4ee7b3b9a204d8508119,"https://www.notion.so/Ether-083c480c6565470385190396104819ad, https://www.notion.so/Coinbase-Wrapped-Staked-ETH-1dfae184eee1474da504942ddd079864",B,0.0768,https://exponential.fi/pools/2abe5cc3-ed15-4218-b26e-7181e5de38c7
Uniswap BTC-ETH 5bp Market Making,https://www.notion.so/Uniswap-v3-5461faaf7fc343298b466a6ee71b9ff2,"https://www.notion.so/Wrapped-BTC-Ethereum-a8a21ace393f4b1da2af0172d9694b73, https://www.notion.so/Ether-083c480c6565470385190396104819ad",A,0.0749,https://exponential.fi/pools/c4e232c2-e66d-4ad2-a415-08339a124eaa
Aave AAVE Staking,https://www.notion.so/Aave-V3-3afbaf6e6d854b649ca8e999ed803e91,https://www.notion.so/Aave-Token-Ethereum-cc37c336d23f4d13a1091c978a2f9394,A,0.0686,https://exponential.fi/pools/20ee9804-a460-4dcc-9d0c-17aaf7a8920d
Lido SOL Staking,https://www.notion.so/Lido-798d6b54fe37419ba77ad8184aa58865,https://www.notion.so/SOL-f8685a5af633437a90071cab4c6cf071,A,0.0648,https://exponential.fi/pools/f511f507-3890-46b3-a2ac-7e7c0101f7a4
Notional USD Market Making,https://www.notion.so/Notional-18814d1f35b142dd9c41d1a88fef756d,https://www.notion.so/Dai-Stablecoin-376edb1ce3d942088af5c5ce4c802364,B,0.0628,https://exponential.fi/pools/79e497aa-1443-4302-842b-a06ba48c38cc
Sturdy USD Lending,https://www.notion.so/Sturdy-15df5cf5265f423d8ebf083a104a24f8,https://www.notion.so/USD-Coin-Ethereum-5543257d4f2348c1ac408501694c7316,B,0.0578,https://exponential.fi/pools/687eba60-1711-446e-b339-68440db50061
Lido ETH Staking,https://www.notion.so/Lido-798d6b54fe37419ba77ad8184aa58865,https://www.notion.so/Ether-083c480c6565470385190396104819ad,A,0.0493,https://exponential.fi/pools/bf2ee737-848b-4e3e-8125-f75cc8e4de53
Notional ETH Market Making,https://www.notion.so/Notional-18814d1f35b142dd9c41d1a88fef756d,https://www.notion.so/Ether-083c480c6565470385190396104819ad,B,0.0481,https://exponential.fi/pools/e72e76cc-8b3f-493d-ab9c-dc88ef21b450
Liquity USD Stability Pool,https://www.notion.so/Liquity-a879e8e0815447048accb0793ea63369,https://www.notion.so/LUSD-Stablecoin-Ethereum-b727ad5e1fb647e2908281c8bfd949a6,B,0.0306,https://exponential.fi/pools/bfdda293-d874-4e4c-ae0f-e4c2231f1b33
Idle ETH Perpetual Yield Tranches (Senior),https://www.notion.so/Idle-a4567aed0b3d4d03b93d94b791240365,https://www.notion.so/Lido-Staked-ETH-bb04fee601b040d9864547d1a8676426,A,0.0304,https://exponential.fi/pools/f214659b-422b-4b79-94f8-4124864292e9
Euler USD Lending,https://www.notion.so/Euler-a387e1ce165d4e02b428d4605d1d7ce6,https://www.notion.so/Tether-USD-Ethereum-0fd710520a85406d9575e4069fa27f0c,B,0.025,https://exponential.fi/pools/d78189c1-ffe5-48bf-9d83-ef5a86b72c1b
Euler ETH Lending,https://www.notion.so/Euler-a387e1ce165d4e02b428d4605d1d7ce6,https://www.notion.so/Ether-083c480c6565470385190396104819ad,B,0.0201,https://exponential.fi/pools/029ef1a9-6cc6-46a3-ad05-72f0b99730c0
Aave USD Lending,https://www.notion.so/Aave-V3-3afbaf6e6d854b649ca8e999ed803e91,https://www.notion.so/Synth-USD-0e11b81f7fd2428795ce2eb0e53019ee,B,0.0135,https://exponential.fi/pools/ebfddbce-d6fa-4867-99ae-a01d1d43c530
Euler ETH Lending,https://www.notion.so/Euler-a387e1ce165d4e02b428d4605d1d7ce6,https://www.notion.so/Coinbase-Wrapped-Staked-ETH-1dfae184eee1474da504942ddd079864,B,0.0022,https://exponential.fi/pools/d0b3dea8-678f-4c66-b979-a82f6dfd7e2a
Sommelier ETH-BTC Trend,https://www.notion.so/Sommelier-78ae2dc1e51d4e8aad48a1f33b17d072,"https://www.notion.so/Wrapped-BTC-Ethereum-a8a21ace393f4b1da2af0172d9694b73, https://www.notion.so/Ether-083c480c6565470385190396104819ad, https://www.notion.so/USD-Coin-Ethereum-5543257d4f2348c1ac408501694c7316",C,3.426,https://exponential.fi/pools/04a5338b-d74c-4015-a591-d326aa6d4bc0
Sommelier USD Yield,https://www.notion.so/Sommelier-78ae2dc1e51d4e8aad48a1f33b17d072,"https://www.notion.so/Tether-USD-Ethereum-0fd710520a85406d9575e4069fa27f0c, https://www.notion.so/USD-Coin-Ethereum-5543257d4f2348c1ac408501694c7316, https://www.notion.so/Dai-Stablecoin-376edb1ce3d942088af5c5ce4c802364",C,0.2755,https://exponential.fi/pools/dce67535-31ee-4d38-b30b-f90fb0eb9a8c
Sommelier MATIC Portfolio,https://www.notion.so/Sommelier-78ae2dc1e51d4e8aad48a1f33b17d072,"https://www.notion.so/Matic-Token-Ethereum-01baf2451bba47309baf4cdb5b19415f, https://www.notion.so/USD-Coin-Ethereum-5543257d4f2348c1ac408501694c7316",C,0.1898,https://exponential.fi/pools/0a6abcc5-378a-4ec0-926d-6da7c1d3aac9
Sonne USD Lending,https://www.notion.so/Sonne-6977324d67ea47b7bd579b99b7793ddd,https://www.notion.so/Dai-Stablecoin-Optimism-e1f800b120b64918a14bd49e952e0b66,C,0.0816,https://exponential.fi/pools/30a3a604-16e1-4361-892c-266e2abb0eed
Yearn ETH Market Making,https://www.notion.so/Yearn-34a1ee33e55f4ee7b3b9a204d8508119,"https://www.notion.so/Ether-083c480c6565470385190396104819ad, https://www.notion.so/Coinbase-Wrapped-Staked-ETH-1dfae184eee1474da504942ddd079864",B,0.0768,https://exponential.fi/pools/2abe5cc3-ed15-4218-b26e-7181e5de38c7
Sonne USD Lending,https://www.notion.so/Sonne-6977324d67ea47b7bd579b99b7793ddd,https://www.notion.so/Tether-USD-Optimism-08cb52b8fff64906bdfbdec9b9ef41bb,D,0.0582,https://exponential.fi/pools/f35ec5eb-c1d0-4102-a6a8-11a19080a885
stake.link LINK Staking,https://www.notion.so/State-link-f657e6dbf8134b7cbbef47d8aa20f9d8,https://www.notion.so/ChainLink-Token-Ethereum-82f42381a4b54f4090668176719bf929,C,0.054,https://exponential.fi/pools/7e9c822f-38ae-492b-a1d9-b0497dea993f
Sonne BTC Lending,https://www.notion.so/Sonne-6977324d67ea47b7bd579b99b7793ddd,https://www.notion.so/Wrapped-BTC-Optimism-d62e75786298497b88bf31e19e771af2,C,0.0505,https://exponential.fi/pools/9992fc08-5af2-4db7-b80d-861cfab6690e
Sonne USD Lending,https://www.notion.so/Sonne-6977324d67ea47b7bd579b99b7793ddd,https://www.notion.so/USD-Coin-Optimism-e9e478f29ca149308ac4e572c9d35921,C,0.0419,https://exponential.fi/pools/bf33ae20-a27b-4f06-a0dc-bfb8d3d7fde7
Sonne ETH Lending,https://www.notion.so/Sonne-6977324d67ea47b7bd579b99b7793ddd,https://www.notion.so/Wrapped-Ether-Optimism-352d8ee66f4d405e9219c450d3d9fc96,C,0.0338,https://exponential.fi/pools/6303d63b-9eae-4190-8354-28df98e0cb82
Euler ETH Lending,https://www.notion.so/Euler-a387e1ce165d4e02b428d4605d1d7ce6,https://www.notion.so/Coinbase-Wrapped-Staked-ETH-1dfae184eee1474da504942ddd079864,B,0.0022,https://exponential.fi/pools/d0b3dea8-678f-4c66-b979-a82f6dfd7e2a
Pendle USDC Yield Token (3/29),https://www.notion.so/Pendle-7cd317bcbc3943d0ab51853f9a8f048e,"https://www.notion.so/Frax-Ethereum-2c39cf8d821b4fefa9002a21a6b856da, https://www.notion.so/USD-Coin-Ethereum-5543257d4f2348c1ac408501694c7316",F,0.805,https://exponential.fi/pools/464c039b-e7dc-4952-941f-b42c090733a7
DeFiChain USD Market Making,https://www.notion.so/DeFiChain-Dex-482f16505a3542d1b1d115c0448424c3,"https://www.notion.so/DeFiChain-Tether-USD-0f75b765e2734cabb8636670fc0139e6, https://www.notion.so/Decentralized-USD-e768f69eee0c40f890b4e9ea2b3723af",F,0.2583,https://exponential.fi/pools/3fb0669b-4629-4ec6-bf15-6bf5331c40e4
Mero USD Staking,https://www.notion.so/Mero-9996705d15a440f39311594ce2b42bdf,"https://www.notion.so/Tether-USD-Ethereum-0fd710520a85406d9575e4069fa27f0c, https://www.notion.so/Magic-Internet-Money-Ethereum-07799e51635c40b39aff0e62364450b9, https://www.notion.so/USD-Coin-Ethereum-5543257d4f2348c1ac408501694c7316, https://www.notion.so/Dai-Stablecoin-376edb1ce3d942088af5c5ce4c802364",D,0.2407,https://exponential.fi/pools/3a5ae522-123e-4703-8822-b23c56db0bf4
DeFiChain USD Market Making,https://www.notion.so/DeFiChain-Dex-482f16505a3542d1b1d115c0448424c3,"https://www.notion.so/DeFiChain-USD-Coin-48b387ee6dcb42ab8eee154644a451be, https://www.notion.so/Decentralized-USD-e768f69eee0c40f890b4e9ea2b3723af",F,0.2388,https://exponential.fi/pools/37a2dd58-aa4f-47d3-9ac7-9097352d8c40
Yearn USD Market Making,https://www.notion.so/Yearn-34a1ee33e55f4ee7b3b9a204d8508119,"https://www.notion.so/Tether-USD-Ethereum-0fd710520a85406d9575e4069fa27f0c, https://www.notion.so/USD-Coin-Ethereum-5543257d4f2348c1ac408501694c7316, https://www.notion.so/Dai-Stablecoin-376edb1ce3d942088af5c5ce4c802364, https://www.notion.so/Neutrino-USD-Waves-4dcd691475894d2a9a24ddb0c5dd2274",F,0.1916,https://exponential.fi/pools/180f5317-6b2b-43f9-bc3d-cd6cabd88724
